,TM,TEAM
0,DET,Detroit Lions
1,STL,Saint Louis Rams
2,KAN,Kansas City Chiefs
3,SEA,Seattle Seahawks
4,NYJ,New York Jets
5,CIN,Cincinnati Bengals
6,OAK,Oakland Raiders
7,JAX,Jacksonville Jaguars
8,GNB,Green Bay Packers
9,SFO,San Francisco 49ers
10,BUF,Buffalo Bills
11,DEN,Denver Broncos
12,WAS,Washington Redskins
13,NOR,New Orleans Saints
14,HOU,Houston Texans
15,SDG,San Diego Chargers
16,TAM,Tampa Bay Buccaneers
17,PHI,Philadelphia Eagles
18,CLE,Cleveland Browns
19,MIN,Minnesota Vikings
20,BAL,Baltimore Ravens
21,ATL,Atlanta Falcons
22,MIA,Miama Dolphins
23,IND,Indianapolis Colts
24,NYG,New York Giants
25,TEN,Tennessee Titans
26,ARI,Arizona Cardinals
27,PIT,Pittsburgh Steelers
28,NWE,New England Patriots
29,CAR,Carolina Panthers
30,CHI,Chicago Bears
31,DAL,Dallas Cowboys
32,LAR,Los Angeles Rams
33,LAC,Los Angeles Chargers
